Fact,ProvenanceLeft,ProvenanceRight,Rule
partOfTransitive(1007|1),partOfTransitive(1007|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1007|17),partOfTransitive(1007|191),partOf(191|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1007|191),partOf(1007|191),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1007|2),partOfTransitive(1007|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1007|gpcr),partOfTransitive(1007|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1007|transporter),partOf(1007|transporter),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1008|1),partOfTransitive(1008|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1008|17),partOfTransitive(1008|191),partOf(191|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1008|191),partOf(1008|191),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1008|2),partOfTransitive(1008|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1008|gpcr),partOfTransitive(1008|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1008|transporter),partOf(1008|transporter),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1009|1),partOfTransitive(1009|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1009|17),partOfTransitive(1009|191),partOf(191|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1009|191),partOf(1009|191),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1009|2),partOfTransitive(1009|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1009|gpcr),partOfTransitive(1009|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1009|transporter),partOf(1009|transporter),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(100|1),partOfTransitive(100|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(100|1112),partOf(100|1112),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(100|20),partOfTransitive(100|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(100|214),partOfTransitive(100|1112),partOf(1112|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(100|3),partOfTransitive(100|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(100|gpcr),partOfTransitive(100|1112),partOf(1112|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(100|nhr),partOf(100|nhr),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(100|transporter),partOfTransitive(100|214),partOf(214|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1010|1),partOfTransitive(1010|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1010|17),partOfTransitive(1010|192),partOf(192|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1010|192),partOf(1010|192),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1010|2),partOfTransitive(1010|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1010|gpcr),partOfTransitive(1010|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1010|transporter),partOf(1010|transporter),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1011|1),partOfTransitive(1011|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1011|17),partOfTransitive(1011|193),partOf(193|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1011|193),partOf(1011|193),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1011|2),partOfTransitive(1011|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1011|gpcr),partOfTransitive(1011|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1011|transporter),partOf(1011|transporter),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1012|1),partOfTransitive(1012|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1012|17),partOfTransitive(1012|193),partOf(193|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1012|193),partOf(1012|193),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1012|2),partOfTransitive(1012|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1012|gpcr),partOfTransitive(1012|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1012|transporter),partOf(1012|transporter),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1013|1),partOfTransitive(1013|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1013|17),partOfTransitive(1013|193),partOf(193|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1013|193),partOf(1013|193),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1013|2),partOfTransitive(1013|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1013|gpcr),partOfTransitive(1013|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1013|transporter),partOf(1013|transporter),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1014|1),partOfTransitive(1014|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1014|17),partOfTransitive(1014|194),partOf(194|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1014|194),partOf(1014|194),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1014|2),partOfTransitive(1014|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1014|gpcr),partOfTransitive(1014|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1014|transporter),partOf(1014|transporter),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1015|1),partOfTransitive(1015|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1015|17),partOfTransitive(1015|194),partOf(194|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1015|194),partOf(1015|194),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1015|2),partOfTransitive(1015|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1015|gpcr),partOfTransitive(1015|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1015|transporter),partOf(1015|transporter),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1016|1),partOfTransitive(1016|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1016|17),partOfTransitive(1016|194),partOf(194|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1016|194),partOf(1016|194),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1016|2),partOfTransitive(1016|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1016|gpcr),partOfTransitive(1016|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1016|transporter),partOf(1016|transporter),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1017|1),partOfTransitive(1017|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1017|17),partOfTransitive(1017|195),partOf(195|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1017|195),partOf(1017|195),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1017|2),partOfTransitive(1017|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1017|gpcr),partOfTransitive(1017|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1017|transporter),partOf(1017|transporter),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1018|1),partOfTransitive(1018|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1018|17),partOfTransitive(1018|195),partOf(195|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1018|195),partOf(1018|195),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1018|2),partOfTransitive(1018|17),partOf(17|2),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1018|enzyme),partOf(1018|enzyme),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1018|gpcr),partOfTransitive(1018|17),partOf(17|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1018|transporter),partOfTransitive(1018|195),partOf(195|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1019|1),partOfTransitive(1019|2),partOf(2|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1019|17),partOfTransitive(1019|196),partOf(196|17),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1019|196),partOf(1019|196),"","partOfTransitive(A,B) :- partOf(A,B)."
