Fact,ProvenanceLeft,ProvenanceRight,Rule
partOfTransitive(1402|1),partOfTransitive(1402|7),partOf(7|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1402|273),partOf(1402|273),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1402|36),partOfTransitive(1402|273),partOf(273|36),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1402|7),partOfTransitive(1402|36),partOf(36|7),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1402|enzyme),partOfTransitive(1402|273),partOf(273|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1402|gpcr),partOfTransitive(1402|36),partOf(36|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1403|1),partOfTransitive(1403|7),partOf(7|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1403|274),partOf(1403|274),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1403|36),partOfTransitive(1403|274),partOf(274|36),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1403|7),partOfTransitive(1403|36),partOf(36|7),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1403|enzyme),partOfTransitive(1403|274),partOf(274|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1403|gpcr),partOfTransitive(1403|36),partOf(36|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1404|1),partOfTransitive(1404|7),partOf(7|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1404|274),partOf(1404|274),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1404|36),partOfTransitive(1404|274),partOf(274|36),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1404|7),partOfTransitive(1404|36),partOf(36|7),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1404|enzyme),partOfTransitive(1404|274),partOf(274|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1404|gpcr),partOfTransitive(1404|36),partOf(36|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1405|1),partOfTransitive(1405|7),partOf(7|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1405|274),partOf(1405|274),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1405|36),partOfTransitive(1405|274),partOf(274|36),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1405|7),partOfTransitive(1405|36),partOf(36|7),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1405|enzyme),partOfTransitive(1405|274),partOf(274|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1405|gpcr),partOfTransitive(1405|36),partOf(36|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1406|1),partOfTransitive(1406|7),partOf(7|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1406|274),partOf(1406|274),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1406|36),partOfTransitive(1406|274),partOf(274|36),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1406|7),partOfTransitive(1406|36),partOf(36|7),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1406|enzyme),partOfTransitive(1406|274),partOf(274|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1406|gpcr),partOfTransitive(1406|36),partOf(36|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1407|1),partOfTransitive(1407|7),partOf(7|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1407|274),partOf(1407|274),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1407|36),partOfTransitive(1407|274),partOf(274|36),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1407|7),partOfTransitive(1407|36),partOf(36|7),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1407|enzyme),partOfTransitive(1407|274),partOf(274|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1407|gpcr),partOfTransitive(1407|36),partOf(36|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1408|1),partOfTransitive(1408|7),partOf(7|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1408|274),partOf(1408|274),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1408|36),partOfTransitive(1408|274),partOf(274|36),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1408|7),partOfTransitive(1408|36),partOf(36|7),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1408|enzyme),partOfTransitive(1408|274),partOf(274|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1408|gpcr),partOfTransitive(1408|36),partOf(36|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1409|1),partOfTransitive(1409|7),partOf(7|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1409|274),partOf(1409|274),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1409|36),partOfTransitive(1409|274),partOf(274|36),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1409|7),partOfTransitive(1409|36),partOf(36|7),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1409|enzyme),partOfTransitive(1409|274),partOf(274|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1409|gpcr),partOfTransitive(1409|36),partOf(36|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(140|1),partOfTransitive(140|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(140|1113),partOf(140|1113),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(140|20),partOfTransitive(140|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(140|214),partOfTransitive(140|1113),partOf(1113|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(140|3),partOfTransitive(140|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(140|gpcr),partOfTransitive(140|1113),partOf(1113|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(140|transporter),partOfTransitive(140|214),partOf(214|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1410|1),partOfTransitive(1410|7),partOf(7|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1410|274),partOf(1410|274),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1410|36),partOfTransitive(1410|274),partOf(274|36),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1410|7),partOfTransitive(1410|36),partOf(36|7),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1410|enzyme),partOfTransitive(1410|274),partOf(274|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1410|gpcr),partOfTransitive(1410|36),partOf(36|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1411|1),partOfTransitive(1411|7),partOf(7|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1411|274),partOf(1411|274),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1411|36),partOfTransitive(1411|274),partOf(274|36),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1411|7),partOfTransitive(1411|36),partOf(36|7),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1411|enzyme),partOfTransitive(1411|274),partOf(274|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1411|gpcr),partOfTransitive(1411|36),partOf(36|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1412|1),partOfTransitive(1412|7),partOf(7|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1412|274),partOf(1412|274),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1412|36),partOfTransitive(1412|274),partOf(274|36),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1412|7),partOfTransitive(1412|36),partOf(36|7),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1412|enzyme),partOfTransitive(1412|274),partOf(274|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1412|gpcr),partOfTransitive(1412|36),partOf(36|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1413|1),partOfTransitive(1413|7),partOf(7|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1413|274),partOf(1413|274),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1413|36),partOfTransitive(1413|274),partOf(274|36),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1413|7),partOfTransitive(1413|36),partOf(36|7),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1413|enzyme),partOfTransitive(1413|274),partOf(274|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1413|gpcr),partOfTransitive(1413|36),partOf(36|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1414|1),partOfTransitive(1414|7),partOf(7|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1414|274),partOf(1414|274),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1414|36),partOfTransitive(1414|274),partOf(274|36),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1414|7),partOfTransitive(1414|36),partOf(36|7),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1414|enzyme),partOfTransitive(1414|274),partOf(274|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1414|gpcr),partOfTransitive(1414|36),partOf(36|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1415|1),partOfTransitive(1415|7),partOf(7|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1415|274),partOf(1415|274),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1415|36),partOfTransitive(1415|274),partOf(274|36),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1415|7),partOfTransitive(1415|36),partOf(36|7),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1415|enzyme),partOfTransitive(1415|274),partOf(274|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1415|gpcr),partOfTransitive(1415|36),partOf(36|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1416|1),partOfTransitive(1416|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1416|1111),partOfTransitive(1416|135),partOf(135|1111),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1416|135),partOfTransitive(1416|275),partOf(275|135),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1416|20),partOfTransitive(1416|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1416|214),partOfTransitive(1416|1111),partOf(1111|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1416|275),partOf(1416|275),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1416|3),partOfTransitive(1416|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1416|enzyme),partOfTransitive(1416|275),partOf(275|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1416|gpcr),partOfTransitive(1416|135),partOf(135|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1416|transporter),partOfTransitive(1416|214),partOf(214|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1417|1),partOfTransitive(1417|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1417|1111),partOfTransitive(1417|135),partOf(135|1111),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1417|1113),partOfTransitive(1417|156),partOf(156|1113),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1417|135),partOfTransitive(1417|275),partOf(275|135),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1417|156),partOfTransitive(1417|799),partOf(799|156),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1417|20),partOfTransitive(1417|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1417|214),partOfTransitive(1417|1111),partOf(1111|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1417|275),partOf(1417|275),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1417|3),partOfTransitive(1417|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1417|799),partOf(1417|799),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1417|enzyme),partOfTransitive(1417|275),partOf(275|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1417|gpcr),partOfTransitive(1417|135),partOf(135|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1417|transporter),partOfTransitive(1417|156),partOf(156|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1418|1),partOfTransitive(1418|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1418|1111),partOfTransitive(1418|135),partOf(135|1111),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1418|135),partOfTransitive(1418|275),partOf(275|135),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1418|20),partOfTransitive(1418|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1418|214),partOfTransitive(1418|1111),partOf(1111|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1418|275),partOf(1418|275),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1418|3),partOfTransitive(1418|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1418|enzyme),partOfTransitive(1418|275),partOf(275|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1418|gpcr),partOfTransitive(1418|135),partOf(135|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1418|transporter),partOfTransitive(1418|214),partOf(214|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1419|1),partOfTransitive(1419|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1419|1111),partOfTransitive(1419|135),partOf(135|1111),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1419|135),partOfTransitive(1419|275),partOf(275|135),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1419|20),partOfTransitive(1419|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1419|214),partOfTransitive(1419|1111),partOf(1111|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1419|275),partOf(1419|275),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1419|3),partOfTransitive(1419|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1419|enzyme),partOfTransitive(1419|275),partOf(275|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1419|gpcr),partOfTransitive(1419|135),partOf(135|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1419|transporter),partOfTransitive(1419|214),partOf(214|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(141|1),partOfTransitive(141|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(141|1111),partOf(141|1111),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(141|20),partOfTransitive(141|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(141|214),partOfTransitive(141|1111),partOf(1111|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(141|3),partOfTransitive(141|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(141|gpcr),partOfTransitive(141|1111),partOf(1111|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(141|transporter),partOfTransitive(141|214),partOf(214|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1420|1),partOfTransitive(1420|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1420|1111),partOfTransitive(1420|135),partOf(135|1111),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1420|135),partOfTransitive(1420|275),partOf(275|135),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1420|20),partOfTransitive(1420|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1420|214),partOfTransitive(1420|1111),partOf(1111|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1420|275),partOf(1420|275),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1420|3),partOfTransitive(1420|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1420|enzyme),partOfTransitive(1420|275),partOf(275|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1420|gpcr),partOfTransitive(1420|135),partOf(135|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1420|transporter),partOfTransitive(1420|214),partOf(214|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1421|1),partOfTransitive(1421|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1421|1111),partOfTransitive(1421|135),partOf(135|1111),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1421|135),partOfTransitive(1421|275),partOf(275|135),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1421|20),partOfTransitive(1421|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1421|214),partOfTransitive(1421|1111),partOf(1111|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1421|275),partOf(1421|275),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1421|3),partOfTransitive(1421|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1421|enzyme),partOfTransitive(1421|275),partOf(275|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1421|gpcr),partOfTransitive(1421|135),partOf(135|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1421|transporter),partOfTransitive(1421|214),partOf(214|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1422|1),partOfTransitive(1422|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1422|1111),partOfTransitive(1422|135),partOf(135|1111),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1422|135),partOfTransitive(1422|275),partOf(275|135),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1422|20),partOfTransitive(1422|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1422|214),partOfTransitive(1422|1111),partOf(1111|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1422|275),partOf(1422|275),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1422|3),partOfTransitive(1422|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1422|enzyme),partOfTransitive(1422|275),partOf(275|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1422|gpcr),partOfTransitive(1422|135),partOf(135|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1422|transporter),partOfTransitive(1422|214),partOf(214|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1423|1),partOfTransitive(1423|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1423|1111),partOfTransitive(1423|135),partOf(135|1111),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1423|135),partOfTransitive(1423|275),partOf(275|135),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1423|20),partOfTransitive(1423|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1423|214),partOfTransitive(1423|1111),partOf(1111|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1423|275),partOf(1423|275),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1423|3),partOfTransitive(1423|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1423|enzyme),partOfTransitive(1423|275),partOf(275|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1423|gpcr),partOfTransitive(1423|135),partOf(135|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1423|transporter),partOfTransitive(1423|214),partOf(214|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1424|1),partOfTransitive(1424|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1424|1111),partOfTransitive(1424|135),partOf(135|1111),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1424|135),partOfTransitive(1424|275),partOf(275|135),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1424|20),partOfTransitive(1424|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1424|214),partOfTransitive(1424|1111),partOf(1111|214),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1424|275),partOf(1424|275),"","partOfTransitive(A,B) :- partOf(A,B)."
partOfTransitive(1424|3),partOfTransitive(1424|20),partOf(20|3),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1424|enzyme),partOfTransitive(1424|275),partOf(275|enzyme),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1424|gpcr),partOfTransitive(1424|135),partOf(135|gpcr),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1424|transporter),partOfTransitive(1424|214),partOf(214|transporter),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1425|1),partOfTransitive(1425|3),partOf(3|1),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1425|1111),partOfTransitive(1425|135),partOf(135|1111),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1425|135),partOfTransitive(1425|275),partOf(275|135),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
partOfTransitive(1425|20),partOfTransitive(1425|214),partOf(214|20),"partOfTransitive(A,B) :- partOfTransitive(A,Via), partOf(Via,B)."
